datetime,Open,High,Low,Close,Volume
2022-08-27,20228.70000,20367.70000,19744.00000,20023.90000,469598.02400
2022-08-28,20024.00000,20155.00000,19508.00000,19547.50000,386405.19500
2022-08-29,19547.50000,20440.00000,19539.40000,20275.50000,598076.66900
2022-08-30,20275.50000,20574.00000,19524.40000,19803.10000,767714.99300
2022-08-31,19803.20000,20496.00000,19787.90000,20041.50000,711639.33900
2022-09-01,20041.40000,20198.30000,19555.00000,20122.50000,691594.72100
2022-09-02,20122.60000,20434.30000,19736.00000,19941.00000,669047.81600
2022-09-03,19941.00000,20050.00000,19628.70000,19820.70000,285240.98900
2022-09-04,19820.70000,20022.40000,19570.00000,19992.70000,396798.18400
2022-09-05,19992.70000,20046.70000,19620.20000,19784.90000,446706.41000
2022-09-06,19784.90000,20174.70000,18600.00000,18781.50000,945489.14200
2022-09-07,18781.40000,19455.00000,18500.00000,19287.00000,595636.69300
2022-09-08,19287.00000,19450.00000,19003.80000,19309.30000,537268.64400
2022-09-09,19309.30000,21666.00000,19283.00000,21352.00000,992497.10000
2022-09-10,21352.00000,21825.00000,21112.20000,21639.50000,491543.20600
2022-09-11,21639.50000,21883.40000,21336.00000,21820.30000,420979.32600
2022-09-12,21820.30000,22474.00000,21540.00000,22386.00000,818601.93200
2022-09-13,22386.00000,22850.00000,19840.00000,20162.50000,1218769.92700
2022-09-14,20162.60000,20528.50000,19600.00000,20217.00000,661802.59700
2022-09-15,20217.00000,20315.00000,19453.00000,19690.80000,665862.06700
2022-09-16,19690.80000,19878.00000,19300.00000,19792.50000,544608.80400
2022-09-17,19792.40000,20182.60000,19739.40000,20102.00000,334678.55800
2022-09-18,20102.00000,20105.30000,19325.80000,19404.50000,499916.47400
2022-09-19,19404.50000,19686.30000,18215.00000,19528.60000,993776.35200
2022-09-20,19528.60000,19625.00000,18690.10000,18866.80000,794623.93200
2022-09-21,18866.70000,20154.10000,18084.30000,18447.50000,1168068.97900
2022-09-22,18447.50000,19504.80000,18345.20000,19392.50000,852898.39100
2022-09-23,19392.50000,19492.00000,18518.50000,19280.70000,838493.74600
2022-09-24,19280.70000,19304.50000,18798.00000,18911.00000,377158.21500
2022-09-25,18910.90000,19196.00000,18621.00000,18799.70000,410461.60300
2022-09-26,18799.70000,19311.50000,18671.00000,19216.30000,777807.51800
2022-09-27,19216.30000,20375.00000,18801.50000,19070.10000,1300566.15800
2022-09-28,19070.10000,19787.60000,18460.00000,19407.30000,1141222.77200
2022-09-29,19407.40000,19648.80000,18827.20000,19582.50000,991678.22400
2022-09-30,19582.50000,20172.70000,19066.00000,19411.70000,1071462.93400
2022-10-01,19411.60000,19474.00000,19140.00000,19304.00000,294457.00900
2022-10-02,19304.00000,19389.00000,18896.00000,19049.40000,414970.45100
2022-10-03,19049.30000,19723.70000,18950.80000,19622.00000,621816.32900
2022-10-04,19621.90000,20500.00000,19480.10000,20333.00000,796678.76200
2022-10-05,20332.90000,20356.10000,19707.00000,20150.00000,719577.14900
2022-10-06,20149.90000,20443.90000,19843.30000,19954.00000,782034.66900
2022-10-07,19954.00000,20067.00000,19304.40000,19520.90000,673407.10200
2022-10-08,19520.90000,19619.60000,19200.00000,19406.20000,253257.20100
2022-10-09,19406.30000,19550.00000,19310.00000,19430.00000,267178.79500
2022-10-10,19430.00000,19513.00000,19000.00000,19124.00000,560920.90400
2022-10-11,19124.10000,19260.00000,18850.00000,19055.00000,603358.32400
2022-10-12,19055.00000,19240.00000,18924.30000,19148.00000,406770.28800
2022-10-13,19148.10000,19498.60000,17917.80000,19365.50000,1104615.00100
2022-10-14,19365.40000,19947.90000,19059.60000,19164.60000,861453.21000
2022-10-15,19164.60000,19218.80000,18966.00000,19060.40000,241520.18500
2022-10-16,19060.40000,19415.90000,19058.00000,19251.90000,267921.19200
2022-10-17,19251.80000,19666.00000,19148.00000,19540.60000,502319.75900
2022-10-18,19540.70000,19706.40000,19081.00000,19320.90000,634343.15400
